scenario,sim_year,n,A_corr_truth,A_mean_error,G_corr_truth,G_mean_error,true_hba1c_assay_shift
ag_interaction,0,10000,0.9924009914834644,0.028310929836588297,0.9963340057724577,0.06952065704825962,0.0
ag_interaction,1,10000,0.9829966009824249,0.016609890003009577,0.9901723612202347,0.033671878460160926,0.0
ag_interaction,2,10000,0.9723235409439869,-0.00013019048825691133,0.9827092282746964,0.000457618430515249,0.0
ag_interaction,3,10000,0.9609292064162936,-0.01495955901502627,0.973696590597108,-0.034598569925082874,0.0
ag_interaction,4,10000,0.9467278873265873,-0.029831070336314634,0.9646837399185751,-0.06905158401385306,0.0
ag_interaction,5,10000,0.9324580561214928,-0.04361389027574319,0.9559964356594366,-0.10527340515563803,0.0
ag_interaction,6,10000,0.9163428553836902,-0.06119935933749104,0.9469622700998503,-0.1440513341047148,0.0
ag_interaction,7,10000,0.9000176355494398,-0.0788258750562478,0.9384998541252393,-0.1789226098732143,0.0
ag_interaction,8,10000,0.8845520746074439,-0.09710834593928597,0.9320993445968254,-0.21547741723683358,0.0
ag_interaction,9,10000,0.8663086586375371,-0.11375421744343098,0.924987986857681,-0.2529314889584914,0.0
ag_interaction,10,10000,0.8475962680463689,-0.13029387753903884,0.9184801790968244,-0.2940289289674864,0.0
ag_interaction,11,10000,0.829371521468699,-0.15151671526180618,0.9126295439610209,-0.33311369884529973,0.0
ag_interaction,12,10000,0.8125126719625566,-0.1658115177899687,0.9082177991792971,-0.37333610975854353,0.0
ag_interaction,13,10000,0.7950109966522417,-0.1854119222013255,0.9037599128175295,-0.4135600951429175,0.0
ag_interaction,14,10000,0.7787428523620193,-0.2048305531706371,0.9001321208379891,-0.45578558341915704,0.0
ag_interaction,15,10000,0.7625998884515593,-0.22168826234502043,0.8951038847708941,-0.49946457193662425,0.0
mapping_drift,0,10000,0.9922061014363563,0.026006287610784478,0.9962444070131424,0.061837582757371924,0.0
mapping_drift,1,10000,0.9827997977904832,0.01321680524007396,0.9904692325948335,0.03209134573865951,0.0
mapping_drift,2,10000,0.972793906836398,0.0017618036223833408,0.9831982158550944,0.0008771413360374194,0.0
mapping_drift,3,10000,0.960109419568453,-0.012679197412493988,0.9749886634783117,-0.031094673264651963,0.0
mapping_drift,4,10000,0.9464311312436198,-0.02830569906074782,0.9663350895094394,-0.0637113965674167,0.0
