scenario,sim_year,n,mean_age,mean_bmi,mean_egfr,mean_true_A,mean_true_G,mean_somatic,mean_somatic_setpoint,beta_A,beta_G,beta_AG,hba1c_assay_shift
stable_additive,0,10000,46.6623,28.812065000000004,93.04718920416066,2.842170943040401e-18,7.105427357601002e-18,1.5922,1.4452,0.22,0.18,0.0,0.0
stable_additive,1,10000,47.6623,28.831841011945095,92.30218871487413,0.018041145333715928,0.04365786171184705,1.6093,1.4570814878934988,0.22,0.18,0.0,0.0
stable_additive,2,10000,48.6623,28.868261788423602,91.5385705202009,0.03733654200128117,0.08992353928918613,1.609,1.470252553327401,0.22,0.18,0.0,0.0
stable_additive,3,10000,49.6623,28.913047459350953,90.81101970944272,0.05946671517200773,0.13893942978949372,1.6094,1.48497774564969,0.22,0.18,0.0,0.0
stable_additive,4,10000,50.6623,28.95844890735231,90.06084850174965,0.07694018442208238,0.18950939815085166,1.6282,1.498753593482477,0.22,0.18,0.0,0.0
stable_additive,5,10000,51.6623,29.00752823485511,89.31361631268817,0.09641391478048324,0.23553048302053875,1.6416,1.5123842803551713,0.22,0.18,0.0,0.0
stable_additive,6,10000,52.6623,29.05225670328778,88.57869664752029,0.11957758133380676,0.28941128355204265,1.6583,1.5285214691824491,0.22,0.18,0.0,0.0
stable_additive,7,10000,53.6623,29.096674600481453,87.81534714508423,0.1423711123944041,0.34359189575337784,1.677,1.544662380148043,0.22,0.18,0.0,0.0
stable_additive,8,10000,54.6623,29.141946899671293,87.04115601590202,0.16492897442764248,0.39650855028556103,1.6938,1.5605831243837025,0.22,0.18,0.0,0.0
stable_additive,9,10000,55.6623,29.196973954048474,86.27315944167256,0.18978986158790784,0.45197662775743264,1.7064,1.5777829218157657,0.22,0.18,0.0,0.0
stable_additive,10,10000,56.6623,29.25255388778303,85.49874624670183,0.21152614270863268,0.5063512989074154,1.7133,1.5941144107800134,0.22,0.18,0.0,0.0
stable_additive,11,10000,57.6623,29.301080529889127,84.74757589458875,0.23891799468321898,0.5648947471044424,1.7257,1.6127573425963346,0.22,0.18,0.0,0.0
stable_additive,12,10000,58.6623,29.34998153739269,83.96494548040322,0.2686620519468473,0.6211724598271975,1.732,1.6315945877819815,0.22,0.18,0.0,0.0
stable_additive,13,10000,59.6623,29.407056160159705,83.1820683235675,0.2942165393723899,0.6767791372713273,1.7365,1.6491786170403109,0.22,0.18,0.0,0.0
stable_additive,14,10000,60.6623,29.46132211298388,82.3923319326062,0.31947256109045413,0.7346951790332805,1.769,1.6674054947684938,0.22,0.18,0.0,0.0
stable_additive,15,10000,61.6623,29.515408434185165,81.6090629385207,0.34621351196638106,0.7906188483644752,1.7851,1.6855973194794045,0.22,0.18,0.0,0.0
mapping_drift,0,10000,46.6623,28.812065000000004,93.04718920416066,2.842170943040401e-18,7.105427357601002e-18,1.59,1.4452,0.22,0.18,0.0,0.0
mapping_drift,1,10000,47.6623,28.827402256993967,92.29371504729909,0.0168326522246552,0.04417236369740003,1.5998,1.4577399010009586,0.214,0.19799999999999998,0.0,0.0
mapping_drift,2,10000,48.6623,28.868609277235404,91.59448606178773,0.0333468325562971,0.09320524805488078,1.6149,1.4728250658216109,0.208,0.216,0.0,0.0
mapping_drift,3,10000,49.6623,28.903842208341988,90.84176518328108,0.05458464963791646,0.14386425635086453,1.6267,1.491084404446417,0.202,0.23399999999999999,0.0,0.0
mapping_drift,4,10000,50.6623,28.94707104969322,90.12588870554491,0.07843413705281903,0.19316134992623793,1.6476,1.5114205806139358,0.196,0.252,0.0,0.0
mapping_drift,5,10000,51.6623,28.991587938802578,89.38385688517313,0.09984721946026778,0.2408625570735247,1.6657,1.5323723326164584,0.19,0.27,0.0,0.0
mapping_drift,6,10000,52.6623,29.03837974237541,88.63520556187792,0.12481296462402433,0.2963980068132614,1.6649,1.5582284723760902,0.184,0.288,0.0,0.0
mapping_drift,7,10000,53.6623,29.088160711389968,87.88178561282315,0.14898826885992525,0.34771929263626045,1.7047,1.5842191063697282,0.178,0.306,0.0,0.0
mapping_drift,8,10000,54.6623,29.134882441117433,87.11596979857603,0.1708325545958405,0.3998791577340904,1.712,1.611692418106052,0.172,0.32399999999999995,0.0,0.0
mapping_drift,9,10000,55.6623,29.18683448455754,86.37818600730897,0.1944448266039839,0.4536807041216035,1.748,1.6417654883957198,0.166,0.34199999999999997,0.0,0.0
mapping_drift,10,10000,56.6623,29.237799569526445,85.61115220629327,0.2207721163527435,0.5076954312059984,1.7808,1.6742083422241925,0.16,0.36,0.0,0.0
mapping_drift,11,10000,57.6623,29.285509816537157,84.86065558709929,0.24524939519372366,0.5621096046092126,1.8067,1.7083779949114053,0.154,0.378,0.0,0.0
mapping_drift,12,10000,58.6623,29.339614525740508,84.07702823690343,0.26893514494648013,0.6168181323887375,1.8456,1.7442221270466223,0.148,0.39599999999999996,0.0,0.0
mapping_drift,13,10000,59.6623,29.389503185127978,83.30665990271105,0.2931064550394105,0.6723802426919498,1.8707,1.782248443139815,0.14200000000000002,0.414,0.0,0.0
mapping_drift,14,10000,60.6623,29.443887775482644,82.53441281592697,0.3176608148382919,0.7300414227263249,1.8931,1.822872136780413,0.136,0.432,0.0,0.0
mapping_drift,15,10000,61.6623,29.50616429853714,81.76604251948731,0.3460309950553481,0.7868893571120872,1.9346,1.865791456263106,0.13,0.44999999999999996,0.0,0.0
ag_interaction,0,10000,46.6623,28.812065000000004,93.04718920416066,2.842170943040401e-18,7.105427357601002e-18,1.5938,1.4452,0.22,0.18,0.0,0.0
ag_interaction,1,10000,47.6623,28.82701087043538,92.31660046916637,0.017395136469669874,0.0530445364271048,1.6134,1.4586975110830456,0.22,0.18,0.0,0.0
