scenario,eval_set,component_minus_scalar,time_minus_component,ag_minus_time
ag_interaction,test_future_10_14,0.030014015662101823,0.05111871897224396,0.009028852512328545
ag_interaction,test_unseen_people_10_14,0.022705796114797394,0.05084976244239947,0.011684723585300039
ag_interaction,validation_time_5_9,0.04256302536826473,0.02923311463795808,0.013368743179537068
mapping_drift,test_future_10_14,0.028186948370176212,0.07159660350978492,-0.0019040356609493214
mapping_drift,test_unseen_people_10_14,0.023279891633205096,0.07337687398305648,-0.00184422905120174
mapping_drift,validation_time_5_9,0.04375690239731189,0.033897665164832835,-0.002489770317495532
measurement_shift,test_future_10_14,0.04823310065823738,-0.009934100849973482,0.002854747749692521
measurement_shift,test_unseen_people_10_14,0.043500944934893426,-0.009743351705222558,0.0032371355268753232
measurement_shift,validation_time_5_9,0.056435766627642825,-0.007424005425255342,-0.001427317330653488
stable_additive,test_future_10_14,0.059925040738248336,-0.005334192881404687,-0.0020630232616891675
stable_additive,test_unseen_people_10_14,0.055118431428216486,-0.005627606860164613,-0.0026409399607265627
stable_additive,validation_time_5_9,0.06179705802338109,-0.005283513011195007,-0.004515903649893183
