scenario,cycle,sim_year,median_abs_smd,max_abs_smd,median_std_wasserstein,max_std_wasserstein,age_sex_target_coverage
ag_interaction,0708,2,0.15342033895423798,1.1453401200333966,0.15496865755686648,1.1453401200333948,1.0
ag_interaction,0910,4,0.16164406401240086,1.1196189534131722,0.18042538852606668,1.119618953413169,1.0
ag_interaction,1112,6,0.19519318176801287,0.9081953438848742,0.19876763202253067,0.9081953438848742,1.0
ag_interaction,1314,8,0.19103136635003304,0.9616685933606183,0.2076371859219028,0.9616685933606178,1.0
ag_interaction,1516,10,0.2557784008049964,0.9859548250142336,0.2557784008049949,0.9859548250142356,0.9999999999999999
ag_interaction,1718,12,0.21563922739917118,1.0445717259093246,0.2158813645204792,1.044571725909325,1.0
mapping_drift,0708,2,0.1528423714762797,1.1538456929503071,0.15373559288780436,1.1538456929503054,1.0
mapping_drift,0910,4,0.16937547330175742,1.09018393702656,0.1859725883264594,1.0901839370265574,1.0
mapping_drift,1112,6,0.2065034988707186,0.9530168461099424,0.2071084248406021,0.9530168461099426,1.0
mapping_drift,1314,8,0.20306308157449796,0.9995136144291195,0.20584725125939093,0.999513614429119,1.0
mapping_drift,1516,10,0.2591076990951234,0.9868194709399866,0.25953549856915376,0.986819470939987,0.9999999999999999
mapping_drift,1718,12,0.22185041464522537,1.0486604141042108,0.2249147869147462,1.0486604141042126,1.0
measurement_shift,0708,2,0.15166973585414392,1.1628291070423251,0.15207628373747273,1.1628291070423233,1.0
measurement_shift,0910,4,0.1713045939121685,1.1150316781321419,0.18554824909449066,1.1150316781321388,1.0
measurement_shift,1112,6,0.2090221125888414,0.9842676589619624,0.20948573649734054,0.9842676589619624,1.0
measurement_shift,1314,8,0.17289748851090475,1.0742479742159068,0.20024287700275645,1.0742479742159066,1.0
measurement_shift,1516,10,0.24530956252273756,1.0780705459094364,0.24570616568529632,1.0780705459094384,0.9999999999999999
measurement_shift,1718,12,0.2174816981777807,1.0906199942795383,0.21773456937758318,1.0906199942795398,1.0
stable_additive,0708,2,0.15183433267260013,1.1709524070191497,0.15321828364045295,1.1709524070191482,1.0
stable_additive,0910,4,0.17108619207528195,1.1144582687220128,0.18546146125349727,1.1144582687220101,1.0
stable_additive,1112,6,0.20941504376086933,0.9855100460172413,0.21049237585093833,0.9855100460172413,1.0
stable_additive,1314,8,0.20055567555863663,1.0704252448150482,0.20565372634806128,1.0704252448150477,1.0
stable_additive,1516,10,0.26130008522856596,1.0800774788448873,0.26166255161138774,1.0800774788448895,0.9999999999999999
stable_additive,1718,12,0.219429424499417,1.0862238554685508,0.22268155721066182,1.0862238554685524,1.0
