scenario,sim_year,n,mean_age,mean_bmi,mean_egfr,mean_true_A,mean_true_G,mean_somatic,beta_A,beta_G,beta_AG,hba1c_assay_shift
stable_additive,0,10000,46.6623,28.812065000000004,93.04718920416066,2.842170943040401e-18,7.105427357601002e-18,0.848,0.22,0.18,0.0,0.0
stable_additive,1,10000,47.6623,28.831841011945095,92.30218871487413,0.018041145333715928,0.04365786171184705,0.6098,0.22,0.18,0.0,0.0
stable_additive,2,10000,48.6623,28.868261788423602,91.5385705202009,0.03733654200128117,0.08992353928918613,0.5281,0.22,0.18,0.0,0.0
stable_additive,3,10000,49.6623,28.913047459350953,90.81101970944272,0.05946671517200773,0.13893942978949372,0.5033,0.22,0.18,0.0,0.0
stable_additive,4,10000,50.6623,28.95844890735231,90.06084850174965,0.07694018442208238,0.18950939815085166,0.5177,0.22,0.18,0.0,0.0
stable_additive,5,10000,51.6623,29.00752823485511,89.31361631268817,0.09641391478048324,0.23553048302053875,0.5251,0.22,0.18,0.0,0.0
stable_additive,6,10000,52.6623,29.05225670328778,88.57869664752029,0.11957758133380676,0.28941128355204265,0.5403,0.22,0.18,0.0,0.0
stable_additive,7,10000,53.6623,29.096674600481453,87.81534714508423,0.1423711123944041,0.34359189575337784,0.5635,0.22,0.18,0.0,0.0
stable_additive,8,10000,54.6623,29.141946899671293,87.04115601590202,0.16492897442764248,0.39650855028556103,0.5817,0.22,0.18,0.0,0.0
stable_additive,9,10000,55.6623,29.196973954048474,86.27315944167256,0.18978986158790784,0.45197662775743264,0.6067,0.22,0.18,0.0,0.0
stable_additive,10,10000,56.6623,29.25255388778303,85.49874624670183,0.21152614270863268,0.5063512989074154,0.6186,0.22,0.18,0.0,0.0
stable_additive,11,10000,57.6623,29.301080529889127,84.74757589458875,0.23891799468321898,0.5648947471044424,0.6357,0.22,0.18,0.0,0.0
stable_additive,12,10000,58.6623,29.34998153739269,83.96494548040322,0.2686620519468473,0.6211724598271975,0.6505,0.22,0.18,0.0,0.0
stable_additive,13,10000,59.6623,29.407056160159705,83.1820683235675,0.2942165393723899,0.6767791372713273,0.6635,0.22,0.18,0.0,0.0
stable_additive,14,10000,60.6623,29.46132211298388,82.3923319326062,0.31947256109045413,0.7346951790332805,0.701,0.22,0.18,0.0,0.0
stable_additive,15,10000,61.6623,29.515408434185165,81.6090629385207,0.34621351196638106,0.7906188483644752,0.7202,0.22,0.18,0.0,0.0
mapping_drift,0,10000,46.6623,28.812065000000004,93.04718920416066,2.842170943040401e-18,7.105427357601002e-18,0.85,0.22,0.18,0.0,0.0
mapping_drift,1,10000,47.6623,28.827402256993967,92.29371504729909,0.0168326522246552,0.04417236369740003,0.6041,0.214,0.19799999999999998,0.0,0.0
mapping_drift,2,10000,48.6623,28.868609277235404,91.59448606178773,0.0333468325562971,0.09320524805488078,0.546,0.208,0.216,0.0,0.0
mapping_drift,3,10000,49.6623,28.903842208341988,90.84176518328108,0.05458464963791646,0.14386425635086453,0.5258,0.202,0.23399999999999999,0.0,0.0
mapping_drift,4,10000,50.6623,28.94707104969322,90.12588870554491,0.07843413705281903,0.19316134992623793,0.5431,0.196,0.252,0.0,0.0
mapping_drift,5,10000,51.6623,28.991587938802578,89.38385688517313,0.09984721946026778,0.2408625570735247,0.5611,0.19,0.27,0.0,0.0
mapping_drift,6,10000,52.6623,29.03837974237541,88.63520556187792,0.12481296462402433,0.2963980068132614,0.5743,0.184,0.288,0.0,0.0
mapping_drift,7,10000,53.6623,29.088160711389968,87.88178561282315,0.14898826885992525,0.34771929263626045,0.6249,0.178,0.306,0.0,0.0
mapping_drift,8,10000,54.6623,29.134882441117433,87.11596979857603,0.1708325545958405,0.3998791577340904,0.6559,0.172,0.32399999999999995,0.0,0.0
mapping_drift,9,10000,55.6623,29.18683448455754,86.37818600730897,0.1944448266039839,0.4536807041216035,0.6991,0.166,0.34199999999999997,0.0,0.0
