scenario,eval_set,component_minus_scalar,time_minus_component,ag_minus_time
ag_interaction,test_future_10_14,0.000490460204619847,-0.0005842969558597089,0.00011273682418333486
ag_interaction,test_unseen_people_10_14,9.06444271403517e-05,-4.680420377223271e-05,0.00016160152156585728
ag_interaction,validation_time_5_9,0.0005026237895480179,-3.397919099812352e-05,0.00022327344572603547
mapping_drift,test_future_10_14,0.0002922068988951976,-0.0006669327296626726,3.6459204091343622e-06
mapping_drift,test_unseen_people_10_14,-4.92560615238391e-05,-0.0010153768856036027,-0.00011588376755966578
mapping_drift,validation_time_5_9,0.0002111544090028783,-7.013373698372405e-05,-6.174666535796458e-05
measurement_shift,test_future_10_14,0.0001571979512121624,-0.0008495601415944298,8.996694278484707e-05
measurement_shift,test_unseen_people_10_14,-0.00019229897294725795,-0.0008280370603460652,-2.0036732853223604e-05
measurement_shift,validation_time_5_9,6.186896474802417e-05,-0.00022624543095783878,3.432759889465675e-05
stable_additive,test_future_10_14,0.00022207666640394752,-0.0004893174269479106,7.252321214379354e-05
stable_additive,test_unseen_people_10_14,7.505287435760621e-06,-7.41015748105811e-05,0.0001384055237867443
stable_additive,validation_time_5_9,0.00020939933911401365,-0.00015438868545059048,6.656406867089348e-05
